clinic_name,branch,locality,category,contact_name,contact_role,contact_confidence,contact_channel,phone,email,instagram,website,rating,reviews_total,reviews_90d,negatives_90d,reviews_180d,negatives_180d,last_review_gap_months,owner_reply_rate_negatives,meta_ads,google_ads,aggregator_paid_listing,funnel_break_stage,recommended_entry_sku,wedge_state,status,disqualify_reason,depth_mode,unverified_fields
Rua Skin & Hair Center,Ramamurthy Nagar,Bangalore,Dermatologist,Dr. Eshritha / Dr. Jatin,Dermatologist,likely,phone,+91 99597 63678,not_found,@ruaskinandhair,ruaskinandhair.com,4.9,80,17,0,61,0,-0.0,n/a (0 negatives),active,undetermined,undetermined,Reactivation,Dead-lead reactivation,PROVISIONAL,Qualified,,Standard,"Dr. Jeevith bio; LinkedIn; Google Ads; aggregator"
Rua Skin & Hair Center,Indiranagar,Bangalore,Dermatologist,Dr. Eshritha / Dr. Jatin,Dermatologist,likely,phone,+91 70199 76689,not_found,@ruaskinandhair,ruaskinandhair.com,5.0,17,10,0,17,0,0.8,n/a (0 negatives),active,undetermined,undetermined,Reactivation,Dead-lead reactivation,PROVISIONAL,Qualified,,Standard,"Same as Ramamurthy Nagar"
Skin and Recon,,Jayanagar Bangalore,Dermatologist/Plastic Surgery,Dr. Shruthi Chikkaiah / Dr. Rakesh Koudki,Chief Dermatologist / Plastic Surgeon,confirmed,phone,+91 63614 17399,skinandrecon@gmail.com,@skinandrecon,skinandrecon.in,4.9,242,43,0,57,1,0.5,100%,none_found,dormant_since_2026-04,undetermined,Reactivation,Dead-lead reactivation,PROVISIONAL,Qualified,,Standard,"Aggregator; LinkedIn; reason ads stopped"
Advanced GroHair GloSkin,Jayanagar,Bangalore,Hair transplantation,Karthik (branch manager),Branch manager,weak,phone/email,+91 89402 56789,jayanagar@adgrohair.com,@adgloskinclinicjayanagar,advancedgrohair.in/jayanagar,4.7,119,24,0,37,3,0.1,50%,active,undetermined,undetermined,Follow-up Persistence,Follow-up and nurture engine,PROVISIONAL,Qualified,,Standard,"Doctor identity; Google Ads; aggregator"
SS Aesthetic Clinic,,Indiranagar Bangalore,Skin care clinic,Mrs. Shylaja B.S. / Mrs. Suchitra B.S.,Founder/Co-founder,confirmed,phone/email,+91 91132 76518,ssaesthetics0825@gmail.com,@ss_aesthetics_indiranagar,ssaesthetics.in,5.0,43,13,0,38,0,0.0,n/a (0 negatives),active,undetermined,undetermined,Reactivation,Dead-lead reactivation,PROVISIONAL,Qualified,,Standard,"Google Ads; aggregator; LinkedIn; Dr. Jabin credentials"
Contour Cosmetic Clinic,,Hullimavu/BTM Bangalore,Hair transplantation,Dr. Saket Jha / Dr. Akanksha Thakur (Jha),Lead Surgeon / Surgeon,confirmed,phone/email,+91 86604 32589,contact@contourcosmeticclinic.com,@contour_hair,contourcosmeticclinic.com,4.8,334,45,2,53,2,0.2,33%,active,active_today,undetermined,Reactivation,Dead-lead reactivation,PROVISIONAL,Qualified,,Standard,"Akanksha name variant; personal LinkedIn; aggregator"
Koza Aesthetic Care,Arekere (HQ),Bangalore,Skin care clinic,none found,,,phone,+91 96060 09079,not_found,@koza.aesthetic.care,kozacare.org,5.0,2,0,0,0,0,19.5,n/a,active,active(1 ad),undetermined,Reactivation,Dead-lead reactivation,PROVISIONAL,Qualified,,Deep,"Founder identity; Ecity branch existence"
Koza Aesthetic Care,Sarjapur Road,Bangalore,Skin care clinic,none found,,,phone,+91 96060 09079,not_found,kozacare.org,null,null,0,0,0,0,,n/a,active,active(1 ad),undetermined,not_run,not_run,PROVISIONAL,Qualified,,Deep,"No reviews yet; founder identity"
Koza Aesthetic Care,HRBR Layout/Kalyan Nagar,Bangalore,Skin care clinic,none found,,,phone,+91 96060 09079,not_found,,4.6,9,1,1,1,1,2.8,0%,active,active(1 ad),undetermined,Reactivation,Dead-lead reactivation,PROVISIONAL,Qualified,,Deep,"Founder identity"
Koza Aesthetic Care,Banashankari,Bangalore,Skin care clinic,none found,,,phone,+91 96060 09079,not_found,,5.0,20,0,0,0,0,10.1,n/a,active,active(1 ad),undetermined,Reactivation,Dead-lead reactivation,PROVISIONAL,Qualified,,Deep,"Founder identity"
Koza Aesthetic Care,Jaya Nagar,Bangalore,Skin care clinic,none found,,,phone,+91 96060 09079,not_found,kozacare.org,3.8,44,2,2,4,2,-0.0,8%,active,active(1 ad),undetermined,Reactivation,Dead-lead reactivation (+ Reviews),PROVISIONAL,Qualified — weakest branch,,Deep,"Founder identity"
Sanssouci Wellness Clinic,,Mysuru,Weight loss/wellness,none found (managed by @ai.shikro - unclear),unclear,weak,phone/email,+91 96112 11581,contactus@sanssouciwellness.com,@sanssouci_wellness.mysuru,sanssouciwellness.com,4.2,148,4,0,16,2,0.8,80%,active,undetermined,undetermined,Reactivation,Dead-lead reactivation,PROVISIONAL,Qualified,,Standard,"Operator identity; Google Ads; Berlin affiliation claim"
SkinFit Wellness,Koramangala,Bangalore,Skin care clinic,Dr. Ruby Sachdev,Founder,confirmed,phone/email,+91 91879 67633,info@skinfitwellness.in,@skinfitwellness.in,skinfitwellness.in,4.9,120,0,0,0,0,10.4,0%,inconclusive,undetermined,undetermined,Reviews,Review reactivation agent,PROVISIONAL,Qualified,,Standard,"Meta/Google ads; 2nd location unconfirmed; aggregator"
Sparha Advanced Aesthetic Studio,,Indiranagar Bangalore,Skin/hair/plastic surgery,Arti Singh,Founder (credential unclear),confirmed,phone/email,+91 99727 19303,info.sparha@gmail.com,@sparha.aesthetic.studio,sparha.in,4.2,352,10,2,15,2,0.3,89%,active,undetermined,undetermined,Quote Chase,Quote-decay follow-up,PROVISIONAL,Qualified — escalation flags present,,Standard,"Arti Singh credentials; Google Ads; aggregator"
Feather Touch Aesthetic Clinic & Academy,Jayanagar (main),Bangalore,Skin care clinic,none found,,,phone,+91 99009 83048,not_found,@feather_touch_aesthetic_clinic,not_found,4.8,803,78,4,120,4,0.1,100%,inconclusive,undetermined,undetermined,Post-consult,Founder capacity protection,PROVISIONAL,Park (mega-founder-brand),,Standard,"Founder identity; website; Meta/Google ads; aggregator"
Feather Touch Aesthetic Clinic & Academy,Mysuru branch,Mysuru,Skin care clinic,none found,,,phone,not_found,not_found,@feathertouchclinicmysore (linked),not_found,5.0,5,5,0,5,0,0.0,n/a,inconclusive,undetermined,undetermined,not_run,not_run,PROVISIONAL,Park (mega-founder-brand),,Standard,"Too thin to analyze; same gaps as main"
