old_path,new_path,action,reason,confidence
.claude/settings.local.json,.claude/settings.local.json,keep,"Obsidian/Claude config — tool-managed, not a note",high
.claude/skills/clinic-audit-research/SKILL.md,.claude/skills/clinic-audit-research/SKILL.md,flag-merge-candidate,"Obsidian/Claude config — tool-managed, not a note | MERGE CANDIDATE with '_archive/clinic-apify-research-skill.md': '## Phase 0 — Intake, depth mode, preflight, pre-screen' and 'What this skill is for' — SKILL.md (2026-08-13) adds the '> Sequencing changed 2026-08-13' block; _archive copy (2026-07-30) is the prior version (29 diff lines)",high
.gitignore,.gitignore,keep,git config,high
.obsidian/app.json,.obsidian/app.json,keep,"Obsidian/Claude config — tool-managed, not a note; byte-identical ({}) but Obsidian owns both, consolidating is pointless",high
.obsidian/appearance.json,.obsidian/appearance.json,keep,"Obsidian/Claude config — tool-managed, not a note; byte-identical ({}) but Obsidian owns both, consolidating is pointless",high
.obsidian/core-plugins.json,.obsidian/core-plugins.json,keep,"Obsidian/Claude config — tool-managed, not a note",high
.obsidian/graph.json,.obsidian/graph.json,keep,"Obsidian/Claude config — tool-managed, not a note",high
.obsidian/workspace.json,.obsidian/workspace.json,keep,"Obsidian/Claude config — tool-managed, not a note",high
clinic-research-sources.md,01 Playbooks/Clinic Research Sources.md,move,content-based routing → 01 Playbooks | renamed; 1 file(s) cite the old name in prose — update in the same commit (rule 3),high
dental-discovery-CRITERIA.md,01 Playbooks/Dental Discovery/Dental Discovery Criteria.md,flag-merge-candidate,"content-based routing → 01 Playbooks/Dental Discovery | renamed; 3 file(s) cite the old name in prose — update in the same commit (rule 3) | MERGE CANDIDATE with 'dental-discovery-STEP-1-QUALIFY.md': CRITERIA '## 2. Qualification gates' ↔ STEP-1 '1A · Discovery + hard kills' … '1D · Demand gate' — CRITERIA defines the gates, STEP-1 operationalises them with budgets; intended pair, not a merge",medium
dental-discovery-STEP-1-QUALIFY.md,01 Playbooks/Dental Discovery/Dental Discovery Step 1 Qualify.md,flag-merge-candidate,"content-based routing → 01 Playbooks/Dental Discovery | MERGE CANDIDATE with 'dental-discovery-CRITERIA.md': CRITERIA '## 2. Qualification gates' ↔ STEP-1 '1A · Discovery + hard kills' … '1D · Demand gate' — CRITERIA defines the gates, STEP-1 operationalises them with budgets; intended pair, not a merge",high
dental-discovery-STEP-2-RESEARCH.md,01 Playbooks/Dental Discovery/Dental Discovery Step 2 Research.md,move,content-based routing → 01 Playbooks/Dental Discovery,high
lead-prioritization-method.md,01 Playbooks/Lead Prioritization Method.md,move,content-based routing → 01 Playbooks,high
linkedin-sales-navigator-personas.md,01 Playbooks/LinkedIn Sales Navigator Personas.md,move,"content-based routing → 01 Playbooks | renamed; 1 file(s) cite the old name in prose — update in the same commit (rule 3) | persona definitions, not a cohort (COHORT-INDEX)",high
PROCESS-MAP.md,01 Playbooks/Process Map.md,move,content-based routing → 01 Playbooks | renamed; 3 file(s) cite the old name in prose — update in the same commit (rule 3),medium
apify-discovery-CONTEXT.md,01 Playbooks/Research Prompts/Apify Discovery Context.md,move,content-based routing → 01 Playbooks/Research Prompts | renamed; 4 file(s) cite the old name in prose — update in the same commit (rule 3),medium
apify-discovery-PROMPT.md,01 Playbooks/Research Prompts/Apify Discovery Prompt.md,move,content-based routing → 01 Playbooks/Research Prompts,high
prompt-research-clinics-11-15.md,01 Playbooks/Research Prompts/Prompt Research Clinics 11-15.md,move,content-based routing → 01 Playbooks/Research Prompts,high
sales-motion/01-reply-to-call.md,01 Playbooks/Sales Motion/01 Reply to Call.md,flag-merge-candidate,"content-based routing → 01 Playbooks/Sales Motion | renamed; 2 file(s) cite the old name in prose — update in the same commit (rule 3) | MERGE CANDIDATE with 'SALES_MOTION.md': SALES_MOTION '## 2 · The motion — five stages' + '## 3 · Stage detail' ↔ the five per-stage files (01 Reply→Call, 02 Credibility Packet, 03 Operations Call, 04  — Heading-level overlap (not caught by shingles — prose differs). Summary vs expanded stage docs | MERGE CANDIDATE with 'SALES_MOTION.md': SALES_MOTION §2/§3 stage summaries ↔ this expanded stage doc — summary vs expanded, prose differs",high
sales-motion/02-credibility-packet.md,01 Playbooks/Sales Motion/02 Credibility Packet.md,flag-merge-candidate,"content-based routing → 01 Playbooks/Sales Motion | renamed; 1 file(s) cite the old name in prose — update in the same commit (rule 3) | MERGE CANDIDATE with 'SALES_MOTION.md': SALES_MOTION §2/§3 stage summaries ↔ this expanded stage doc — summary vs expanded, prose differs",high
sales-motion/03-operations-call.md,01 Playbooks/Sales Motion/03 Operations Call.md,flag-merge-candidate,"content-based routing → 01 Playbooks/Sales Motion | renamed; 2 file(s) cite the old name in prose — update in the same commit (rule 3) | MERGE CANDIDATE with 'SALES_MOTION.md': SALES_MOTION §2/§3 stage summaries ↔ this expanded stage doc — summary vs expanded, prose differs",high
sales-motion/04-findings-and-rollout.md,01 Playbooks/Sales Motion/04 Findings and Rollout.md,flag-merge-candidate,"content-based routing → 01 Playbooks/Sales Motion | renamed; 2 file(s) cite the old name in prose — update in the same commit (rule 3) | MERGE CANDIDATE with 'SALES_MOTION.md': SALES_MOTION §2/§3 stage summaries ↔ this expanded stage doc — summary vs expanded, prose differs",high
sales-motion/05-pilot-and-onboarding.md,01 Playbooks/Sales Motion/05 Pilot and Onboarding.md,flag-merge-candidate,"content-based routing → 01 Playbooks/Sales Motion | renamed; 2 file(s) cite the old name in prose — update in the same commit (rule 3) | MERGE CANDIDATE with 'SALES_MOTION.md': SALES_MOTION §2/§3 stage summaries ↔ this expanded stage doc — summary vs expanded, prose differs",high
sales-motion/client-facing/HOW-WE-WORK.md,01 Playbooks/Sales Motion/HOW-WE-WORK.md,move,content-based routing → 01 Playbooks/Sales Motion | NAME KEPT: 6 vault files cite `HOW-WE-WORK.md` in prose; Title-Case rename would force prose edits (rule 2) — propose frontmatter `aliases:` in Phase 3 instead. Flip to rename if you prefer rule 8 strictly,medium
SALES_MOTION.md,01 Playbooks/Sales Motion/SALES_MOTION.md,flag-merge-candidate,"content-based routing → 01 Playbooks/Sales Motion | NAME KEPT: 25 vault files cite `SALES_MOTION.md` in prose; Title-Case rename would force prose edits (rule 2) — propose frontmatter `aliases:` in Phase 3 instead. Flip to rename if you prefer rule 8 strictly | MERGE CANDIDATE with 'sales-motion/01-reply-to-call.md … 05-pilot-and-onboarding.md': SALES_MOTION '## 2 · The motion — five stages' + '## 3 · Stage detail' ↔ the five per-stage files (01 Reply→Call, 02 Credibility Packet, 03 Operations Call, 04  — Heading-level overlap (not caught by shingles — prose differs). Summary vs expanded stage docs",medium
clinic-audit-checklist.md,01 Playbooks/clinic-audit-checklist.md,flag-merge-candidate,content-based routing → 01 Playbooks | NAME KEPT: 6 vault files cite `clinic-audit-checklist.md` in prose; Title-Case rename would force prose edits (rule 2) — propose frontmatter `aliases:` in Phase 3 instead. Flip to rename if you prefer rule 8 strictly | MERGE CANDIDATE with 'wedge-signal-entry.md': checklist '## 4 · Booking-Flow Mystery Shop' ↔ wedge-signal-entry '## 2. Speed-to-lead audit SOP' — Both define the mystery-shop procedure; wedge-signal-entry is the declared canonical rulebook,medium
One-page-docs/diagnostic_doc_playbook.md,01 Playbooks/diagnostic_doc_playbook.md,move,content-based routing → 01 Playbooks | NAME KEPT: 13 vault files cite `diagnostic_doc_playbook.md` in prose; Title-Case rename would force prose edits (rule 2) — propose frontmatter `aliases:` in Phase 3 instead. Flip to rename if you prefer rule 8 strictly,medium
personalized-outbound-v2.md,01 Playbooks/personalized-outbound-v2.md,flag-merge-candidate,"content-based routing → 01 Playbooks | NAME KEPT: 18 vault files cite `personalized-outbound-v2.md` in prose; Title-Case rename would force prose edits (rule 2) — propose frontmatter `aliases:` in Phase 3 instead. Flip to rename if you prefer rule 8 strictly | MERGE CANDIDATE with '_archive/personalized-outbound-skill.md': '## The Sequence — Three Threads' → '### 5 · The meet ask' and '### 6 · The silence bumps' (v1: 'call/offline meet ask', 'silence bump Day 2–3') — v2 adds 'Revised 2026-08-13' block (rev-share struck, 2-touch cap). Shared verbatim: Offer Engineering Lens, Risk Reversal Standard, Languag | MERGE CANDIDATE with 'Project-Hand-Off/03-DRAFTING-ENGINE.md': 03 '## 4 · The sequence — 4 touches, 2 channels' ↔ v2 '## The Sequence — Three Threads' / '### 6 · The silence bumps — touches 2, 3 and 4'; both have a 'rebutta — Hand-off condensation of the outbound skill",medium
