clinic_name,vertical_primary,location,founder_name,founder_ig_followers,clinic_ig_followers,active_ads_count,ad_platforms,icp_score,whatsapp_response_type,mystery_shop_status,top_weakness_signal,recommended_entry_sku,priority_tier,audit_date
Mister Hair Clinic,Hair Transplant,"Sadashivanagar +9 branches, Bangalore",Rajaram S (operator-led; clinical team Dr Souvik/Saranya/Sukruthi/Sam),,55320,10,"Facebook, Instagram, WhatsApp, Audience Network",9.5,PENDING,PENDING - manual,Conversion-layer maturity unverified at 10-branch scale,Full Revenue OS,Highest,2026-07-19
Looks Hair and Skin Clinic,Hair Transplant,"Thanisandra + Sarjapur, Bangalore","Dr. Gulshanara Begum, Dr. Dulip Kumar",,10298,0,None,9.0,PENDING,PENDING - manual,"Documented failed-treatment, no re-assessment or follow-up (₹25,500, 1★ review)",Quote/Consultation Follow-up,High,2026-07-19
The Derma Theory Hair and Skin Clinic,Dermatology/Medspa,"HSR Layout + JP Nagar, Bangalore",Dr. Minu Jain,,5989,1,"Facebook, Instagram, Audience Network, WhatsApp",9.5,PENDING,PENDING - manual,"Actively runs WhatsApp-CTA ads while an existing paying patient's WhatsApp messages went unanswered for weeks (₹37K payment, refund ignored)",Dead Pipeline Reactivation,Highest,2026-07-19
AMINTRI Skin & Hair Clinic,Dermatology/Medspa,"Arekere, Bangalore",Dr. Mithila Ravindranath,,10452,0,None,8.5,PENDING,PENDING - manual,Founder personally handles all patient escalations - single point of failure,Dead Pipeline Reactivation,High,2026-07-19
Evenly Skin and Hair Clinic,Dermatology/Medspa,"HSR Layout + Jayanagar + Indiranagar Bangalore, + Indore",Multi-doctor team (Dr. Shraddha Pitalia et al.),,1110,0,None,8.5,PENDING,PENDING - manual,Thin IG relative to 970+ combined reviews across 5 branches; provider-specific patient loyalty untracked,Dead Pipeline Reactivation,Med-High,2026-07-19
Vrudhii Aesthetics,Cosmetology/Aesthetic,"Soundarya Layout, Bangalore",Dr. Amrutha Hosalli,,2167,0,None,8.0,PENDING,PENDING - manual,930 reviews on zero ad spend with no automated booking/reminder infra,No-Show Recovery,Med-High,2026-07-19
Dermaqure,Cosmetology/Aesthetic,"T. Dasarahalli, Bangalore","Dr. Pawan Kumar, Dr. Spoorthy H V",,366,1,"Facebook, Instagram, Audience Network, WhatsApp",8.5,PENDING,PENDING - manual,"One always-on Meta ad since Feb 2026, unrefreshed for 5 months - WhatsApp CTA but no WhatsApp option visible on site",Instant-Response Automation,Med-High,2026-07-19
Beeyens Skin and Laser Clinic,Cosmetology/Aesthetic,"Vidyaranyapura, Bangalore",Dr. T Tarun Deepak Reddy,,44,0,None,7.5,PENDING,PENDING - manual,Newly opened clinic with near-zero social presence despite strong Google reputation,Instant-Response Automation,Med,2026-07-19
Nikhilesh Dental Clinic,Dental,"MEI Layout Nagasandra, Bangalore",Dr. Rupa Chandramala,,195,0,None,8.0,PENDING,PENDING - manual,Established since 2006 but minimal Instagram/Practo reach beyond Google,No-Show Recovery,Med,2026-07-19
Smile World Dental Clinic and Implant Center,Dental,"Yelahanka, Bangalore",Dr. Jiji Robin,,16,0,None,7.5,PENDING,PENDING - manual,Dormant Instagram (16 followers since 2021) despite perfect 5.0★ Google rating,No-Show Recovery,Low-Med,2026-07-19
Tooth & Root Dental Clinic,Dental,"Vidyaranyapura, Bangalore",Dr. Anagha Reji,,109,0,None,7.0,PENDING,PENDING - manual,Small early-stage practice; WhatsApp live but likely manually handled,Instant-Response Automation,Low-Med,2026-07-19
CLINIQUE Hair Transplant Centre (Dr. Idris),Hair Transplant,"JP Nagar, Bangalore",Dr. Idris,,421,0,None,7.5,PENDING,PENDING - manual,"Documented slow response to patient info request + credential-transparency concern (1★ review)",Instant-Response Automation,Med,2026-07-19
